player_name,home_team,away_team,year,team,Match,Competition,Date,Position,Minutes played,total_actions,successful_actions,goals,assists,shots,shots_on_target,xg,total_passes,total_passes_completed,long_passes,long_passes_completed,crosses,accurate_crosses,dribbles,successful_dribbles,total_duels,total_duels_won,aerial_duels,aerial_duels_won,interceptions,losses,losses_in_own_half,recoveries,recoveries_in_own_half,minute_yellow_card_received,minute_red_card_received,defensive_duels,defensive_duels_won,loose_ball_duels,loose_ball_duels_won,slide_tackles_attempted,slide_tackles_won,clearances,fouls,yellow_cards,red_cards,shot_assists,offensive_duels,offensive_duels,touches_inside_box,offsides,progressive_runs_attempted,fouls_drawn,through_passes_attempted,through_passes_completed,xa,second_assists,passes_into_final_third,passes_into_final_third_completed,passes_into_box,passes_into_box_completed,received_passes,forward_passes,forward_passes,back_passes,back_passes,gk_stat_conceded_goals,gk_stat_xcg,gk_stat_shots_against,gk_stat_saves,gk_stat_reflex_saves,gk_stat_box_exits,gk_stat_passes_to_gk,gk_stat_passes_to_gk_completed,gk_stat_goal_kicks_attempted,gk_stat_short_goal_kicks,gk_stat_long_goal_kicks
T. Creech,Ohio State Buckeyes,Washington Huskies,2024,Ohio State Buckeyes,Ohio State Buckeyes - Washington Huskies 2:0,United States. NCAA D1 Big Ten,10/8/24,CF,13,14,5,0,0,0,0,0,3,2,0,0,0,0,1,0,8,3,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Indiana Hoosiers,2024,Ohio State Buckeyes,Ohio State Buckeyes - Indiana Hoosiers 2:2,United States. NCAA D1 Big Ten,9/28/24,CF,10,7,1,0,0,1,0,0.09,1,1,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Rutgers Scarlet Knights,2024,Ohio State Buckeyes,Ohio State Buckeyes - Rutgers Scarlet Knights 3:0,United States. NCAA D1 Big Ten,9/23/24,CF,31,18,10,0,0,0,0,0,6,3,0,0,2,0,0,0,11,6,5,4,0,9,1,1,1,0,0,2,1,1,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,1,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Penn State Nittany Lion,Ohio State Buckeyes,2024,Ohio State Buckeyes,Penn State Nittany Lion - Ohio State Buckeyes 0:5,United States. NCAA D1 Big Ten,9/18/24,CF,40,33,17,0,0,0,0,0,18,14,1,0,0,0,2,1,12,3,2,0,0,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,2,0,1,1,9,5,2,4,4,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Butler Bulldogs,2024,Ohio State Buckeyes,Ohio State Buckeyes - Butler Bulldogs 1:0,United States. NCAA D1 Non-conference matches,9/14/24,"LW, CF",31,16,9,0,0,0,0,0,7,7,0,0,0,0,0,0,9,2,2,1,0,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Akron Zips,Ohio State Buckeyes,2024,Ohio State Buckeyes,Akron Zips - Ohio State Buckeyes 0:2,United States. NCAA D1 Non-conference matches,8/26/24,CF,44,16,5,0,0,0,0,0,2,1,0,0,0,0,2,0,11,4,2,1,0,3,1,1,0,0,0,2,2,3,1,0,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Cleveland State Vikings,2024,Ohio State Buckeyes,Ohio State Buckeyes - Cleveland State Vikings 1:1,United States. NCAA D1 Non-conference matches,8/23/24,CF,25,15,8,0,0,2,0,0.38,9,7,1,1,0,0,0,0,4,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,8,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Penn State Nittany Lion,Ohio State Buckeyes,2023,Ohio State Buckeyes,Penn State Nittany Lion - Ohio State Buckeyes (P) 1:1,United States. NCAA D1 Big Ten,11/9/23,CF,46,26,6,0,0,0,0,0,6,2,0,0,1,0,2,0,18,4,6,1,0,10,3,0,0,0,0,2,1,4,1,0,0,0,1,0,0,0,6,1,1,0,1,1,0,0,0,0,0,0,0,0,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Maryland College Park Terrapins,2023,Ohio State Buckeyes,Ohio State Buckeyes - Maryland College Park Terrapins 4:1,United States. NCAA D1 Big Ten,10/29/23,CF,51,39,18,0,0,1,1,0.38,10,8,1,0,1,0,3,2,24,8,8,3,0,9,4,1,1,0,0,4,3,3,0,0,0,0,2,0,0,1,9,2,2,0,1,1,0,0,0,0,0,0,0,0,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Michigan State Spartans,Ohio State Buckeyes,2023,Ohio State Buckeyes,Michigan State Spartans - Ohio State Buckeyes 2:3,United States. NCAA D1 Big Ten,10/25/23,0,8,8,5,0,0,0,0,0,4,4,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Louisville Cardinals,Ohio State Buckeyes,2023,Ohio State Buckeyes,Louisville Cardinals - Ohio State Buckeyes 2:2,United States. NCAA D1 Non-conference matches,10/11/23,CF,58,27,15,0,0,0,0,0,13,10,1,1,2,1,2,1,11,5,2,0,1,7,3,3,2,0,0,3,3,1,0,0,0,1,0,0,0,0,5,2,4,0,0,0,0,0,0,1,1,1,2,2,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
